customer_id,first_name,last_name,email,city,created_at
1,First1,Last1,user1@mail.com,Bangalore,2026-02-17 22:33:38.535804
2,First2,Last2,user2@mail.com,Mumbai,2026-02-17 22:33:38.535848
3,First3,Last3,user3@mail.com,Mumbai,2026-02-17 22:33:38.535854
4,First4,Last4,user4@mail.com,Bangalore,2026-02-17 22:33:38.535858
5,First5,Last5,user5@mail.com,Bangalore,2026-02-17 22:33:38.535861
6,First6,Last6,user6@mail.com,Delhi,2026-02-17 22:33:38.535865
7,First7,Last7,user7@mail.com,Delhi,2026-02-17 22:33:38.535868
8,First8,Last8,user8@mail.com,Bangalore,2026-02-17 22:33:38.535871
9,First9,Last9,user9@mail.com,Pune,2026-02-17 22:33:38.535875
10,First10,Last10,user10@mail.com,Mumbai,2026-02-17 22:33:38.535879
11,First11,Last11,user11@mail.com,Delhi,2026-02-17 22:33:38.535883
12,First12,Last12,user12@mail.com,Bangalore,2026-02-17 22:33:38.535886
13,First13,Last13,user13@mail.com,Pune,2026-02-17 22:33:38.535890
14,First14,Last14,user14@mail.com,Bangalore,2026-02-17 22:33:38.535893
15,First15,Last15,user15@mail.com,Pune,2026-02-17 22:33:38.535897
16,First16,Last16,user16@mail.com,Pune,2026-02-17 22:33:38.535900
17,First17,Last17,user17@mail.com,Pune,2026-02-17 22:33:38.535904
18,First18,Last18,user18@mail.com,Delhi,2026-02-17 22:33:38.535907
19,First19,Last19,user19@mail.com,Pune,2026-02-17 22:33:38.535911
20,First20,Last20,user20@mail.com,Pune,2026-02-17 22:33:38.535914
21,First21,Last21,user21@mail.com,Delhi,2026-02-17 22:33:38.535917
22,First22,Last22,user22@mail.com,Delhi,2026-02-17 22:33:38.535921
23,First23,Last23,user23@mail.com,Mumbai,2026-02-17 22:33:38.535924
24,First24,Last24,user24@mail.com,Delhi,2026-02-17 22:33:38.535928
25,First25,Last25,user25@mail.com,Delhi,2026-02-17 22:33:38.535931
26,First26,Last26,user26@mail.com,Bangalore,2026-02-17 22:33:38.535935
27,First27,Last27,user27@mail.com,Bangalore,2026-02-17 22:33:38.535938
28,First28,Last28,user28@mail.com,Mumbai,2026-02-17 22:33:38.535942
29,First29,Last29,user29@mail.com,Bangalore,2026-02-17 22:33:38.535949
30,First30,Last30,user30@mail.com,Mumbai,2026-02-17 22:33:38.535953
31,First31,Last31,user31@mail.com,Pune,2026-02-17 22:33:38.535956
32,First32,Last32,user32@mail.com,Delhi,2026-02-17 22:33:38.535959
33,First33,Last33,user33@mail.com,Mumbai,2026-02-17 22:33:38.535963
34,First34,Last34,user34@mail.com,Mumbai,2026-02-17 22:33:38.535966
35,First35,Last35,user35@mail.com,Delhi,2026-02-17 22:33:38.535970
36,First36,Last36,user36@mail.com,Delhi,2026-02-17 22:33:38.535973
37,First37,Last37,user37@mail.com,Bangalore,2026-02-17 22:33:38.535977
38,First38,Last38,user38@mail.com,Delhi,2026-02-17 22:33:38.535980
39,First39,Last39,user39@mail.com,Delhi,2026-02-17 22:33:38.535984
40,First40,Last40,user40@mail.com,Bangalore,2026-02-17 22:33:38.535987
41,First41,Last41,user41@mail.com,Pune,2026-02-17 22:33:38.535991
42,First42,Last42,user42@mail.com,Delhi,2026-02-17 22:33:38.535994
43,First43,Last43,user43@mail.com,Pune,2026-02-17 22:33:38.535998
44,First44,Last44,user44@mail.com,Bangalore,2026-02-17 22:33:38.536001
45,First45,Last45,user45@mail.com,Mumbai,2026-02-17 22:33:38.536005
46,First46,Last46,user46@mail.com,Pune,2026-02-17 22:33:38.536008
47,First47,Last47,user47@mail.com,Mumbai,2026-02-17 22:33:38.536012
48,First48,Last48,user48@mail.com,Mumbai,2026-02-17 22:33:38.536015
49,First49,Last49,user49@mail.com,Delhi,2026-02-17 22:33:38.536018
50,First50,Last50,user50@mail.com,Mumbai,2026-02-17 22:33:38.536022
51,First51,Last51,user51@mail.com,Delhi,2026-02-17 22:33:38.536025
52,First52,Last52,user52@mail.com,Mumbai,2026-02-17 22:33:38.536028
53,First53,Last53,user53@mail.com,Bangalore,2026-02-17 22:33:38.536032
54,First54,Last54,user54@mail.com,Mumbai,2026-02-17 22:33:38.536036
55,First55,Last55,user55@mail.com,Mumbai,2026-02-17 22:33:38.536039
56,First56,Last56,user56@mail.com,Pune,2026-02-17 22:33:38.536043
57,First57,Last57,user57@mail.com,Delhi,2026-02-17 22:33:38.536046
58,First58,Last58,user58@mail.com,Mumbai,2026-02-17 22:33:38.536049
59,First59,Last59,user59@mail.com,Mumbai,2026-02-17 22:33:38.536053
60,First60,Last60,user60@mail.com,Delhi,2026-02-17 22:33:38.536056
61,First61,Last61,user61@mail.com,Pune,2026-02-17 22:33:38.536060
62,First62,Last62,user62@mail.com,Pune,2026-02-17 22:33:38.536063
63,First63,Last63,user63@mail.com,Mumbai,2026-02-17 22:33:38.536067
64,First64,Last64,user64@mail.com,Mumbai,2026-02-17 22:33:38.536073
65,First65,Last65,user65@mail.com,Pune,2026-02-17 22:33:38.536077
66,First66,Last66,user66@mail.com,Delhi,2026-02-17 22:33:38.536081
67,First67,Last67,user67@mail.com,Bangalore,2026-02-17 22:33:38.536085
68,First68,Last68,user68@mail.com,Pune,2026-02-17 22:33:38.536089
69,First69,Last69,user69@mail.com,Pune,2026-02-17 22:33:38.536092
70,First70,Last70,user70@mail.com,Delhi,2026-02-17 22:33:38.536096
71,First71,Last71,user71@mail.com,Delhi,2026-02-17 22:33:38.536101
72,First72,Last72,user72@mail.com,Bangalore,2026-02-17 22:33:38.536104
73,First73,Last73,user73@mail.com,Pune,2026-02-17 22:33:38.536108
74,First74,Last74,user74@mail.com,Pune,2026-02-17 22:33:38.536111
75,First75,Last75,user75@mail.com,Mumbai,2026-02-17 22:33:38.536115
76,First76,Last76,user76@mail.com,Delhi,2026-02-17 22:33:38.536118
77,First77,Last77,user77@mail.com,Bangalore,2026-02-17 22:33:38.536124
78,First78,Last78,user78@mail.com,Bangalore,2026-02-17 22:33:38.536127
79,First79,Last79,user79@mail.com,Delhi,2026-02-17 22:33:38.536131
80,First80,Last80,user80@mail.com,Delhi,2026-02-17 22:33:38.536134
81,First81,Last81,user81@mail.com,Pune,2026-02-17 22:33:38.536138
82,First82,Last82,user82@mail.com,Delhi,2026-02-17 22:33:38.536141
83,First83,Last83,user83@mail.com,Pune,2026-02-17 22:33:38.536144
84,First84,Last84,user84@mail.com,Delhi,2026-02-17 22:33:38.536148
85,First85,Last85,user85@mail.com,Bangalore,2026-02-17 22:33:38.536151
86,First86,Last86,user86@mail.com,Pune,2026-02-17 22:33:38.536155
87,First87,Last87,user87@mail.com,Pune,2026-02-17 22:33:38.536158
88,First88,Last88,user88@mail.com,Pune,2026-02-17 22:33:38.536161
89,First89,Last89,user89@mail.com,Pune,2026-02-17 22:33:38.536165
90,First90,Last90,user90@mail.com,Bangalore,2026-02-17 22:33:38.536168
91,First91,Last91,user91@mail.com,Mumbai,2026-02-17 22:33:38.536176
92,First92,Last92,user92@mail.com,Bangalore,2026-02-17 22:33:38.536179
